"boxerID","wins","defeats","draws","wins_by_KO","defeats_by_KO"
"718443","20","2",1,"10 KOs","0 KOs"
"792659","14","0",0,"11 KOs","0 KOs"
"661423","18","6",1,"8 KOs","4 KOs"
"692831","19","2",0,"14 KOs","2 KOs"
"758977","18","1",0,"14 KOs","1 KOs"
"530897","30","9",6,"16 KOs","4 KOs"
"814937","15","0",0,"11 KOs","0 KOs"
"488076","28","3",1,"15 KOs","2 KOs"
"777533","18","1",0,"15 KOs","0 KOs"
"799123","20","0",1,"7 KOs","0 KOs"
"747308","15","3",0,"10 KOs","0 KOs"
"732656","14","0",0,"7 KOs","0 KOs"
"641665","29","7",2,"19 KOs","0 KOs"
"375910","27","7",2,"19 KOs","2 KOs"
"452490","32","11",0,"21 KOs","1 KOs"
"856778","7","0",0,"4 KOs","0 KOs"
"675297","29","0",0,"20 KOs","0 KOs"
"352193","33","8",1,"23 KOs","4 KOs"
"622344","26","4",2,"20 KOs","1 KOs"
"780772","16","0",0,"7 KOs","0 KOs"
"589149","27","6",0,"15 KOs","1 KOs"
"614781","31","1",0,"28 KOs","1 KOs"
"670205","17","3",1,"5 KOs","1 KOs"
"724394","16","2",2,"7 KOs","0 KOs"
"525227","27","1",1,"18 KOs","1 KOs"
"846560","7","0",0,"4 KOs","0 KOs"
"789597","14","0",0,"14 KOs","0 KOs"
"731524","12","2",1,"4 KOs","1 KOs"
"737760","14","0",0,"11 KOs","0 KOs"
"375956","23","8",0,"11 KOs","0 KOs"
"727366","19","1",0,"5 KOs","1 KOs"
"722795","14","0",0,"12 KOs","0 KOs"
"805023","12","0",0,"10 KOs","0 KOs"
"517769","23","6",1,"18 KOs","3 KOs"
"605717","21","6",0,"18 KOs","4 KOs"
"733547","14","2",1,"12 KOs","1 KOs"
"757058","20","0",0,"14 KOs","0 KOs"
"634931","13","3",0,"9 KOs","2 KOs"
"773544","14","1",0,"14 KOs","0 KOs"
"700925","15","1",0,"5 KOs","0 KOs"
"501472","23","4",0,"14 KOs","0 KOs"
"510276","16","2",1,"10 KOs","2 KOs"
"455293","26","6",0,"18 KOs","4 KOs"
"682293","17","2",0,"14 KOs","2 KOs"
"798789","7","1",0,"1 KOs","0 KOs"
"506305","30","5",0,"27 KOs","4 KOs"
"715609","19","2",1,"8 KOs","2 KOs"
"687666","18","3",0,"9 KOs","1 KOs"
"695993","26","1",0,"13 KOs","0 KOs"
"619123","26","1",1,"7 KOs","1 KOs"
"559902","25","3",0,"12 KOs","0 KOs"
"692149","23","0",1,"18 KOs","0 KOs"
"790333","17","2",1,"3 KOs","0 KOs"
"642464","24","2",1,"8 KOs","2 KOs"
"14587","50","9",3,"35 KOs","4 KOs"
"751458","14","3",0,"3 KOs","0 KOs"
"748097","16","1",0,"10 KOs","0 KOs"
"828413","12","0",0,"9 KOs","0 KOs"
"501818","25","3",1,"18 KOs","2 KOs"
"540096","21","8",1,"14 KOs","2 KOs"
"833008","14","0",0,"11 KOs","0 KOs"
"662409","24","2",0,"14 KOs","1 KOs"
"779719","18","0",0,"9 KOs","0 KOs"
"657991","24","4",1,"20 KOs","2 KOs"
"798935","15","0",0,"8 KOs","0 KOs"
"781633","11","1",0,"5 KOs","1 KOs"
"841386","9","0",0,"6 KOs","0 KOs"
"629775","21","2",1,"5 KOs","2 KOs"
"620663","31","0",1,"4 KOs","0 KOs"
"769395","12","1",0,"7 KOs","0 KOs"
"550164","28","4",1,"23 KOs","2 KOs"
"694941","17","2",1,"10 KOs","0 KOs"
"733157","20","1",0,"19 KOs","1 KOs"
"291903","28","3",0,"18 KOs","1 KOs"
"718374","19","2",2,"12 KOs","1 KOs"
"718305","19","0",0,"12 KOs","0 KOs"
"816198","11","0",0,"7 KOs","0 KOs"
"469170","30","7",2,"20 KOs","1 KOs"
"617715","24","2",2,"11 KOs","2 KOs"
"472219","20","1",1,"14 KOs","0 KOs"
"727711","13","1",1,"8 KOs","0 KOs"
"634552","22","3",0,"21 KOs","2 KOs"
"814162","10","1",0,"9 KOs","0 KOs"
"618621","10","5",1,"4 KOs","2 KOs"
"615094","20","9",0,"7 KOs","1 KOs"
"659411","15","0",1,"10 KOs","0 KOs"
"804222","11","1",0,"11 KOs","0 KOs"
"665140","25","0",1,"4 KOs","0 KOs"
"482823","34","3",1,"8 KOs","0 KOs"
"645118","19","0",0,"11 KOs","0 KOs"
"576340","26","1",0,"22 KOs","0 KOs"
"772177","14","0",0,"3 KOs","0 KOs"
"644799","23","4",1,"12 KOs","1 KOs"
"681548","16","1",1,"12 KOs","1 KOs"
"554173","33","2",0,"15 KOs","1 KOs"
"681976","24","4",0,"13 KOs","2 KOs"
"734680","20","1",0,"14 KOs","0 KOs"
"730425","23","2",0,"16 KOs","0 KOs"
"624445","25","4",1,"12 KOs","2 KOs"
"599546","19","3",0,"15 KOs","2 KOs"
"729611","14","1",0,"14 KOs","0 KOs"
"378733","25","7",3,"12 KOs","2 KOs"
"817165","14","0",2,"7 KOs","0 KOs"
"861505","9","0",0,"7 KOs","0 KOs"
"598062","30","3",1,"16 KOs","1 KOs"
"621121","20","1",0,"13 KOs","1 KOs"
"727695","10","3",1,"6 KOs","2 KOs"
"756191","15","3",0,"6 KOs","1 KOs"
"747770","18","0",0,"15 KOs","0 KOs"
"595058","26","0",0,"22 KOs","0 KOs"
"786778","14","0",0,"8 KOs","0 KOs"
"805603","10","0",0,"9 KOs","0 KOs"
"634553","22","3",0,"18 KOs","3 KOs"
"784475","20","0",0,"15 KOs","0 KOs"
"845734","9","1",0,"6 KOs","0 KOs"
"748808","17","0",0,"7 KOs","0 KOs"
"698932","17","0",0,"7 KOs","0 KOs"
"693603","12","2",0,"11 KOs","1 KOs"
"611407","22","3",0,"16 KOs","0 KOs"
"819304","15","0",0,"10 KOs","0 KOs"
"789385","11","0",0,"9 KOs","0 KOs"
"530951","23","2",1,"11 KOs","1 KOs"
"696222","17","2",0,"10 KOs","0 KOs"
"644435","14","3",2,"10 KOs","1 KOs"
"727512","23","0",1,"14 KOs","0 KOs"
"378124","43","9",5,"31 KOs","2 KOs"
"834214","14","0",0,"9 KOs","0 KOs"
"387857","31","5",2,"19 KOs","2 KOs"
"437194","27","3",2,"12 KOs","0 KOs"
"562043","18","3",2,"12 KOs","1 KOs"
"783383","14","0",0,"10 KOs","0 KOs"
"691593","17","2",1,"17 KOs","1 KOs"
"788697","13","0",0,"12 KOs","0 KOs"
"639184","19","0",4,"10 KOs","0 KOs"
