"boxerID","wins","defeats","draws","wins_by_KO","defeats_by_KO"
"41551","112","9",2,"27 KOs","3 KOs"
"8322","36","4",0,"20 KOs","2 KOs"
"457231","28","3",3,"16 KOs","0 KOs"
"10322","53","15",8,"13 KOs","3 KOs"
"9870","104","16",14,"20 KOs","0 KOs"
"12836","75","26",3,"8 KOs","7 KOs"
"116","40","4",2,"23 KOs","1 KOs"
"18685","93","5",4,"34 KOs","2 KOs"
"490","58","18",1,"42 KOs","12 KOs"
"414","62","6",1,"18 KOs","5 KOs"
"10007","71","23",7,"24 KOs","1 KOs"
"372003","29","2",1,"24 KOs","2 KOs"
"47752","61","16",7,"24 KOs","13 KOs"
"12001","47","17",2,"23 KOs","6 KOs"
"314558","34","5",0,"21 KOs","4 KOs"
"53777","53","12",8,"39 KOs","0 KOs"
"10851","62","30",4,"40 KOs","1 KOs"
"1137","52","4",1,"40 KOs","3 KOs"
"10453","73","25",6,"52 KOs","2 KOs"
"467843","42","3",0,"28 KOs","0 KOs"
"34051","91","5",2,"47 KOs","3 KOs"
"9422","91","54",8,"16 KOs","6 KOs"
"119611","82","47",18,"17 KOs","0 KOs"
"9591","101","23",12,"22 KOs","1 KOs"
"34020","32","3",0,"23 KOs","0 KOs"
"432984","37","3",0,"30 KOs","1 KOs"
"8258","51","5",1,"40 KOs","2 KOs"
"4923","41","5",1,"22 KOs","4 KOs"
"9965","34","6",1,"13 KOs","0 KOs"
"9434","82","39",17,"18 KOs","4 KOs"
"9880","37","7",3,"16 KOs","3 KOs"
"325","41","11",1,"25 KOs","2 KOs"
"31996","57","7",2,"23 KOs","2 KOs"
"9614","78","26",11,"6 KOs","5 KOs"
"36443","66","8",0,"29 KOs","2 KOs"
"12220","90","7",6,"61 KOs","3 KOs"
"155774","28","4",0,"26 KOs","3 KOs"
"623","45","12",2,"29 KOs","1 KOs"
"17615","70","9",3,"56 KOs","5 KOs"
"17250","94","50",19,"23 KOs","9 KOs"
"9689","102","15",9,"27 KOs","0 KOs"
"11273","95","8",15,"65 KOs","2 KOs"
"10091","101","19",8,"39 KOs","3 KOs"
"13825","61","13",9,"20 KOs","1 KOs"
"117787","76","31",19,"30 KOs","4 KOs"
"10140","101","41",18,"25 KOs","4 KOs"
"505","40","5",0,"38 KOs","5 KOs"
"16037","52","6",1,"42 KOs","2 KOs"
"24040","65","12",1,"42 KOs","2 KOs"
"9972","48","10",3,"9 KOs","3 KOs"
"3363","31","1",0,"11 KOs","0 KOs"
"629933","30","0",0,"23 KOs","0 KOs"
"11396","45","4",0,"8 KOs","0 KOs"
"6945","44","10",0,"30 KOs","4 KOs"
"122183","27","0",0,"27 KOs","0 KOs"
"10881","50","11",3,"29 KOs","3 KOs"
"9996","64","16",6,"32 KOs","5 KOs"
"20665","64","7",2,"51 KOs","4 KOs"
"46315","72","15",8,"27 KOs","3 KOs"
"12541","46","12",2,"32 KOs","5 KOs"
"16028","105","3",2,"66 KOs","0 KOs"
"13795","97","29",12,"43 KOs","14 KOs"
"40104","73","29",4,"25 KOs","9 KOs"
"12449","57","26",7,"18 KOs","2 KOs"
